ID,Link,Left,Through,Right,laneID,length
11602,105041,0,0,0,1050411,234.11791119534848
11603,105038,0,1050411,0,1050382,89.16214769778863
11604,105038,0,0,0,1050381,89.16214635972463
11605,105038,0,0,0,1050383,89.1621450211264
11606,105040,0,1050431,0,1050402,110.86816100633536
11607,105040,0,1050432,0,1050403,117.82075840380556
11608,105040,0,1050433,0,1050404,124.77335702246013
11609,105040,0,0,0,1050401,131.7259568646084
11610,105040,0,0,0,1050405,138.67855792829556
11611,105040,0,0,0,1050406,145.6311602132661
11612,105043,0,1050451,0,1050432,106.65221434172133
11613,105043,0,0,0,1050431,106.65221558785717
11614,105043,0,0,0,1050433,106.65221683399287
11615,105042,0,0,0,1050421,106.65221184944937
11616,105042,0,0,0,1050422,106.65221060355861
11617,105042,0,0,0,1050423,106.65220935717697
11618,105045,0,1050841,0,1050452,89.80513629749018
11619,105045,0,1050842,0,1050453,95.58382542889422
11620,105045,0,1050843,0,1050454,101.36251464675519
11621,105045,0,0,0,1050451,107.14120395375332
11622,105045,0,0,0,1050455,112.91989334750349
11623,105045,0,0,0,1050456,118.69858283155504
11624,105044,0,1050431,0,1050441,426.5508553034034
11625,105044,0,1050432,0,1050442,425.31672997296863
11626,105068,0,1050751,0,1050681,179.7406485062873
11627,105068,0,1050752,0,1050682,179.9951771697239
11628,105097,0,0,1050941,1050973,1178.2722518357825
11629,105097,0,1051061,0,1050972,1176.3581784611158
11630,105097,1050991,0,0,1050971,1174.4441050584346
11631,105084,0,1050881,0,1050842,166.36260250822676
11632,105084,0,0,0,1050841,164.3099814726814
11633,105084,0,0,0,1050843,162.25736042807887
11634,105048,0,1050121,0,1050482,11.505436524096952
11635,105048,0,1050122,0,1050483,11.505428284723397
11636,105048,1050111,0,0,1050481,11.5054200454786
11637,105048,0,0,0,1050484,11.505411806362558
11638,105048,0,0,0,1050485,11.505403568153385
11639,105048,0,0,0,1050486,11.505395327832856
11640,105057,0,0,1050506,1050576,395.40167990531336
11641,105057,0,1047891,0,1050572,396.45066742277845
11642,105057,0,1047892,0,1050573,397.49965487303945
11643,105057,0,1047893,0,1050574,398.548642253476
11644,105057,0,0,0,1050571,399.5976295682841
11645,105057,0,0,0,1050575,400.64661681390754
11646,105047,0,1050482,1050576,1050472,46.846522065902676
11647,105047,0,1050481,0,1050471,47.43000801906248
11648,105052,0,1050582,1050552,1050522,328.8060525000125
11649,105052,1050531,1050581,0,1050521,328.8592391597931
11650,105051,0,1050471,0,1050511,328.6996793695044
11651,105051,0,1050472,0,1050512,328.64649289768096
11652,105053,0,1047862,1047853,1050532,393.2126235905987
11653,105053,1049971,1047861,0,1050531,393.64559795566106
11654,105055,0,1050641,0,1050551,71.41508135199892
11655,105055,0,1050642,0,1050552,71.41508408951482
11656,105058,0,0,1050782,1050582,318.91814314793277
11657,105058,1050601,1050631,0,1050581,318.5235542107094
11658,105056,0,1050532,1050582,1050562,71.41507587497185
11659,105056,1050511,1050531,0,1050561,71.41507313745471
11660,105064,0,1050651,0,1050642,54.08012213582026
11661,105064,0,1050652,0,1050643,56.50138943936852
11662,105064,1050661,0,0,1050641,58.92265680595321
11663,105064,0,0,0,1050644,61.34392423453592
11664,105059,1050551,1050511,1050532,1050591,319.70731955513213
11665,105060,0,1047762,1047803,1050602,396.65027319540843
11666,105060,0,1047761,0,1050601,394.7178715270681
11667,105063,1018301,1018261,1016432,1050631,397.83011995391684
11668,105078,0,0,1050812,1050782,332.937726291891
11669,105078,0,1050801,0,1050781,332.7759348811302
11670,105065,0,1050691,0,1050652,42.07937196903305
11671,105065,0,1050692,0,1050653,43.974229052740554
11672,105065,0,1050693,0,1050654,45.869086540086954
11673,105065,1050751,0,0,1050651,47.7639444356591
11674,105065,0,0,0,1050655,49.65880273487897
11675,105066,0,0,1050674,1050664,15.856006485304178
11676,105066,0,1050761,0,1050662,17.11215581226528
11677,105066,0,1050762,0,1050663,18.368306239820956
11678,105066,0,0,0,1050661,19.62445777107766
11679,105069,0,0,1050442,1050693,179.23159113623922
11680,105069,0,1050971,0,1050692,178.97706242769493
11681,105069,0,0,0,1050691,178.72253370738758
11682,105075,0,0,1050765,1050755,31.39345259788471
11683,105075,0,1050671,0,1050752,34.16372178360232
11684,105075,0,1050672,0,1050753,36.93399089961917
11685,105075,0,1050673,0,1050754,39.704259946142855
11686,105075,0,0,0,1050751,42.474528924092354
11687,105067,0,1050561,0,1050672,65.63946292437805
11688,105067,0,1050562,0,1050673,67.76474333449377
11689,105067,1050641,0,0,1050671,69.8900230960963
11690,105067,0,0,0,1050674,72.0153022122102
11691,105076,0,1050711,0,1050762,40.75479416060163
11692,105076,0,1050712,0,1050763,42.62185793092776
11693,105076,0,0,0,1050761,44.488923737682214
11694,105076,0,0,0,1050764,46.35599157658407
11695,105076,0,0,0,1050765,48.22306145186629
11696,105070,0,0,1050682,1050703,152.83649911285897
11697,105070,0,1050441,0,1050702,153.02925385389184
11698,105070,1050971,0,0,1050701,153.2220083543247
11699,105072,0,0,0,1050721,213.57131391601007
11700,105072,0,0,0,1050722,213.5602358501938
11701,105073,0,1016312,1050982,1050732,2005.5475703771917
11702,105073,1016321,1016311,0,1050731,1997.983469562465
11703,105082,1050771,1050801,0,1050821,171.44265948553442
11704,105082,0,0,0,1050822,171.24199061454414
11705,105071,0,1050732,1050703,1050712,213.59347007471774
11706,105071,1050821,1050731,0,1050711,213.60454816712402
11707,105077,1050591,1050601,1050631,1050771,333.26130907097183
11708,105080,1016521,1016451,1016442,1050801,398.83773217816065
11709,105081,0,1050722,1050732,1050812,171.84399643273235
11710,105081,1050701,1050721,0,1050811,172.04466451277497
11711,105083,0,0,0,1050831,170.46784454534068
11712,105083,0,0,0,1050832,172.5204655499985
11713,105083,0,0,0,1050833,174.5730865431244
11714,105088,0,0,1050902,1050883,396.0397296109786
11715,105088,0,1050861,0,1050882,397.29358406666796
11716,105088,1050911,0,0,1050881,398.54743762254424
11717,105085,0,1050911,1050902,1050851,147.21768261789933
11718,105086,0,0,0,1050861,133.33161189243248
11719,105090,1050921,1050951,0,1050901,15.825477879518466
11720,105090,0,1050952,0,1050902,15.825482449305909
11721,105091,0,0,1050872,1050913,101.75142865719646
11722,105091,0,1050931,0,1050912,101.66734198919475
11723,105091,0,0,0,1050911,101.58325538027663
11724,105087,0,1050851,0,1050871,118.60456411390199
11725,105087,0,0,0,1050872,118.93481877205521
11726,105093,0,1051401,0,1050932,87.62352432950038
11727,105093,0,0,0,1050931,89.49053378996278
11728,105093,0,0,0,1050933,91.35754246603189
