Id,nLane,tLinkID,FN,TN,linkID,freeflowsp,length,Left,Through,Right,Lane1,Lane2,Lane3,Lane4,Lane5,Lane6,Lane7,Lane8,Lane9,FREEFL1,FREEFL2,FREEFL3,FREEFL4,FREEFL5,FREEFL6,FREEFL7,FREEFL8,FREEFL9,FREEFL10,FREEFL11,FREEFL12,FREEFL13,FREEFL14,FREEFL15,FREEFL16,FREEFL17,FREEFL18,FREEFL19,FREEFL20,FREEFL21,FREEFL22,FREEFL23,FREEFL24,fid
100043,2.0,100042,963,965,100043,35,77.77816099515454,0,100041,0,1000431,1000432,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100043
100061,2.0,100062,963,962,100061,35,77.29046691977638,0,100059,0,1000611,1000612,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100061
100044,3.0,0,848,1232,100044,35,2268.25125565241,0,109846,0,1000441,1000442,1000443,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100044
100045,2.0,100046,848,847,100045,35,9.023520906325595,100048,100050,0,1000451,1000452,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100045
109846,5.0,0,1232,1234,109846,35,7.562417292529722,109847,109851,0,1098461,1098462,1098463,1098464,1098465,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,109846
100046,1.0,100045,847,848,100046,35,9.023520906325595,0,100044,0,1000461,0,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100046
100048,3.0,0,847,771,100048,35,592.6583470163033,0,100101,100047,1000481,1000482,1000483,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100048
100050,2.0,100049,847,843,100050,35,57.23739575789697,0,100053,100051,1000501,1000502,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100050
100047,4.0,0,771,848,100047,35,593.1597207027836,100045,100044,0,1000471,1000472,1000473,1000474,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100047
100101,2.0,100102,771,370,100101,35,3165.8296538424597,0,100108,0,1001011,1001012,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100101
100049,1.0,100050,843,847,100049,35,57.23739575789697,0,100046,100048,1000491,0,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100049
100051,4.0,0,843,911,100051,35,705.0688351376784,0,100020,0,1000511,1000512,1000513,1000514,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100051
100053,2.0,100052,843,842,100053,35,11.053990270985121,0,100055,0,1000531,1000532,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100053
100052,1.0,100053,842,843,100052,35,11.053990270985121,100051,100049,0,1000521,0,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100052
100055,4.0,0,842,835,100055,35,71.28477786740682,100056,100058,0,1000551,1000552,1000553,1000554,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100055
100056,3.0,0,835,843,100056,35,72.61218155010201,100053,100051,100049,1000561,1000562,1000563,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100056
100058,2.0,100057,835,798,100058,35,363.40759900525524,0,100006,0,1000581,1000582,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100058
100059,2.0,100060,962,961,100059,35,79.27346187134097,0,100064,0,1000591,1000592,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100059
100062,2.0,100061,962,963,100062,35,77.29046691977638,0,100043,0,1000621,1000622,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100062
100060,2.0,100059,961,962,100060,35,79.27346187134097,0,100062,0,1000601,1000602,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100060
100064,2.0,100063,961,958,100064,35,155.8729489566796,0,100066,0,1000641,1000642,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100064
100063,2.0,100064,958,961,100063,35,155.8729489566796,0,100060,0,1000631,1000632,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100063
100066,2.0,100065,958,956,100066,35,78.54150096604272,0,100068,0,1000661,1000662,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100066
100065,2.0,100066,956,958,100065,35,78.54150096604272,0,100063,0,1000651,1000652,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100065
100068,2.0,100067,956,954,100068,35,77.93246514747567,0,100070,0,1000681,1000682,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100068
100067,2.0,100068,954,956,100067,35,77.93246514747567,0,100065,0,1000671,1000672,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100067
100070,2.0,100069,954,951,100070,35,72.01731511223991,0,100072,0,1000701,1000702,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100070
100069,2.0,100070,951,954,100069,35,72.01731511223991,0,100067,0,1000691,1000692,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100069
100072,2.0,100071,951,950,100072,35,75.2397377701988,0,100073,0,1000721,1000722,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100072
100071,2.0,100072,950,951,100071,35,75.2397377701988,0,100069,0,1000711,1000712,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100071
100073,2.0,100074,950,949,100073,35,74.95597991985542,0,100075,0,1000731,1000732,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100073
100074,2.0,100073,949,950,100074,35,74.95597991985542,0,100071,0,1000741,1000742,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100074
100075,2.0,100076,949,940,100075,35,98.56316812948056,0,100085,0,1000751,1000752,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100075
100076,2.0,100075,940,949,100076,35,98.56316812948056,0,100074,0,1000761,1000762,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100076
100085,2.0,100086,940,933,100085,35,97.44586690578726,0,100080,0,1000851,1000852,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100085
100077,2.0,100078,931,941,100077,35,149.83880188087616,0,100081,0,1000771,1000772,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100077
100079,2.0,100080,931,933,100079,35,46.4643051849067,0,100086,0,1000791,1000792,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100079
100078,2.0,100077,941,931,100078,35,149.83880188087616,0,100079,0,1000781,1000782,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100078
100081,2.0,100082,941,957,100081,35,148.65408049578832,0,100083,0,1000811,1000812,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100081
100080,2.0,100079,933,931,100080,35,46.4643051849067,0,100077,0,1000801,1000802,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100080
100086,2.0,100085,933,940,100086,35,97.44586690578726,0,100076,0,1000861,1000862,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100086
100082,2.0,100081,957,941,100082,35,148.65408049578832,0,100078,0,1000821,1000822,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100082
100083,2.0,100084,957,969,100083,35,145.3149397252721,0,100088,0,1000831,1000832,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100083
100084,2.0,100083,969,957,100084,35,145.3149397252721,0,100082,0,1000841,1000842,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100084
