LinkID,LaneNum,RoadType,TLinkID,FnJunction,TnJunction,Left,Through,Right,Lane1,Lane2,Lane3,Lane4,Lane5,Lane6,Lane7,Lane8,Lane9,Length
104566,5.0,1.0,105233,5563,5574,0,105235,105234,1045661,1045662,1045663,1045664,1045665,0,0,0,0,43.05307363366446
104567,4.0,1.0,105232,5563,5397,0,105231,0,1045671,1045672,1045673,1045674,0,0,0,0,0,404.28226810139853
104568,4.0,1.0,104668,4107,4169,0,104667,0,1045681,1045682,1045683,1045684,0,0,0,0,0,155.0471065470785
104569,4.0,1.0,104670,4107,3932,0,104669,0,1045691,1045692,1045693,1045694,0,0,0,0,0,338.4962010086024
104570,4.0,1.0,104492,4107,3924,0,104491,0,1045701,1045702,1045703,1045704,0,0,0,0,0,344.81313518622164
104571,3.0,2.0,0,3676,3529,104526,104525,0,1045711,1045712,1045713,0,0,0,0,0,0,390.4505779051964
104572,2.0,2.0,0,3939,3813,0,104671,0,1045721,1045722,0,0,0,0,0,0,0,300.5142812499947
104573,1.0,9.0,0,3939,38421,104673,104672,0,1045731,0,0,0,0,0,0,0,0,298.62728877896865
104537,4.0,1.0,104499,4214,4136,0,104498,104500,1045371,1045372,1045373,1045374,0,0,0,0,0,120.54731968477645
104538,2.0,1.0,104639,4214,4191,0,104641,104640,1045381,1045382,0,0,0,0,0,0,0,270.2803917658604
104539,3.0,1.0,104644,4214,4349,104642,104643,0,1045391,1045392,1045393,0,0,0,0,0,0,586.4042524541117
104540,2.0,1.0,104500,4238,4136,0,104499,104498,1045401,1045402,0,0,0,0,0,0,0,90.19291426669346
104541,2.0,1.0,104645,4238,4121,0,104647,104646,1045411,1045412,0,0,0,0,0,0,0,182.10147661597998
104542,2.0,1.0,104650,4238,4200,0,104648,104649,1045421,1045422,0,0,0,0,0,0,0,240.16924085164737
104543,2.0,1.0,104647,4056,4121,104646,104645,0,1045431,1045432,0,0,0,0,0,0,0,67.77545776250565
104544,2.0,1.0,104546,4056,4351,0,104548,104547,1045441,1045442,0,0,0,0,0,0,0,297.85341154783356
104545,2.0,1.0,104502,4056,3994,0,104501,104503,1045451,1045452,0,0,0,0,0,0,0,81.51288438957107
104546,2.0,1.0,104544,4351,4056,0,104543,104545,1045461,1045462,0,0,0,0,0,0,0,297.85341154783356
