LinkID,LaneNum,TLinkID,FnJunction,TnJunction,SpeedLimit,Left,Through,Right,Lane1,Lane2,Lane3,Lane4,Lane5,Lane6,Lane7,Lane8,Lane9
100123,3,0,431,437,35,0,100127,0,1001231,1001232,1001233,0,0,0,0,0,0
100121,3,0,432,437,35,0,100127,0,1001211,1001212,1001213,0,0,0,0,0,0
100122,2,0,432,455,35,100143,100145,0,1001221,1001222,0,0,0,0,0,0,0
100127,3,0,437,469,35,100128,100136,100144,1001271,1001272,1001273,0,0,0,0,0,0
100143,2,0,455,465,35,0,100142,0,1001431,1001432,0,0,0,0,0,0,0
100145,2,0,455,461,35,100146,100141,0,1001451,1001452,0,0,0,0,0,0,0
100124,3,0,434,431,35,0,100123,100120,1001241,1001242,1001243,0,0,0,0,0,0
100125,3,0,443,432,35,0,100121,100122,1001251,1001252,1001253,0,0,0,0,0,0
100234,3,0,443,434,35,0,100124,0,1002341,1002342,1002343,0,0,0,0,0,0
100126,3,0,448,431,35,100123,100120,0,1001261,1001262,1001263,0,0,0,0,0,0
100233,3,0,448,443,35,100125,100234,0,1002331,1002332,1002333,0,0,0,0,0,0
100128,2,0,469,454,35,0,100129,0,1001281,1001282,0,0,0,0,0,0,0
100136,3,0,469,510,35,0,100137,0,1001361,1001362,1001363,0,0,0,0,0,0
100144,2,0,469,465,35,0,0,0,1001441,1001442,0,0,0,0,0,0,0
100129,3,0,454,448,35,100126,100233,0,1001291,1001292,1001293,0,0,0,0,0,0
100130,2,0,485,454,35,0,100129,0,1001301,1001302,0,0,0,0,0,0,0
100138,2,0,485,478,35,100139,100164,0,1001381,1001382,0,0,0,0,0,0,0
100131,1,0,458,473,35,0,100133,0,1001311,0,0,0,0,0,0,0,0
100134,2,0,458,474,35,0,100230,0,1001341,1001342,0,0,0,0,0,0,0
100133,3,0,473,510,35,0,100137,0,1001331,1001332,1001333,0,0,0,0,0,0
100132,2,0,451,473,35,0,100133,0,1001321,1001322,0,0,0,0,0,0,0
100135,2,0,451,474,35,0,100230,0,1001351,1001352,0,0,0,0,0,0,0
100137,2,0,510,511,35,100197,100161,0,1001371,1001372,0,0,0,0,0,0,0
100230,2,0,474,503,35,100229,100169,0,1002301,1002302,0,0,0,0,0,0,0
100161,1,0,511,526,45,0,100160,0,1001611,0,0,0,0,0,0,0,0
100197,3,0,511,562,45,0,100185,0,1001971,1001972,1001973,0,0,0,0,0,0
100139,2,0,478,480,35,100148,100140,0,1001391,1001392,0,0,0,0,0,0,0
100164,2,0,478,509,35,0,100157,0,1001641,1001642,0,0,0,0,0,0,0
100140,2,0,480,484,35,0,100149,0,1001401,1001402,0,0,0,0,0,0,0
100148,2,0,480,519,35,100155,100156,0,1001481,1001482,0,0,0,0,0,0,0
100149,4,0,484,509,35,0,100157,0,1001491,1001492,1001493,1001494,0,0,0,0,0
100141,2,0,461,471,35,0,100147,0,1001411,1001412,0,0,0,0,0,0,0
100146,2,0,461,465,35,0,100142,0,1001461,1001462,0,0,0,0,0,0,0
100147,2,0,471,484,35,0,100149,0,1001471,1001472,0,0,0,0,0,0,0
100142,2,0,465,469,35,100128,100136,0,1001421,1001422,0,0,0,0,0,0,0
100155,4,0,519,531,35,0,100151,0,1001551,1001552,1001553,1001554,0,0,0,0,0
100156,4,0,519,520,35,100154,100158,0,1001561,1001562,1001563,1001564,0,0,0,0,0
100157,4,0,509,520,35,0,100154,100158,1001571,1001572,1001573,1001574,0,0,0,0,0
100150,2,0,535,471,35,0,100147,0,1001501,1001502,0,0,0,0,0,0,0
100152,2,0,535,541,45,0,100201,0,1001521,1001522,0,0,0,0,0,0,0
100151,3,0,531,535,35,100150,100152,0,1001511,1001512,1001513,0,0,0,0,0,0
100201,4,0,541,562,65,0,100185,0,1002011,1002012,1002013,1002014,0,0,0,0,0
100153,3,0,550,541,45,0,100201,0,1001531,1001532,1001533,0,0,0,0,0,0
100162,2,0,550,542,45,0,100159,0,1001621,1001622,0,0,0,0,0,0,0
100154,4,0,520,531,35,0,100151,0,1001541,1001542,1001543,1001544,0,0,0,0,0
100158,4,0,520,522,35,100163,100167,0,1001581,1001582,1001583,1001584,0,0,0,0,0
100163,2,0,522,524,45,0,100321,0,1001631,1001632,0,0,0,0,0,0,0
100167,2,0,522,540,35,0,100168,0,1001671,1001672,0,0,0,0,0,0,0
100159,1,0,542,526,65,0,100160,0,1001591,0,0,0,0,0,0,0,0
100160,2,0,526,524,65,0,100321,0,1001601,1001602,0,0,0,0,0,0,0
100321,3,0,524,555,65,100329,100319,0,1003211,1003212,1003213,0,0,0,0,0,0
100165,2,0,528,540,45,0,100168,0,1001651,1001652,0,0,0,0,0,0,0
100166,1,0,528,551,65,100209,100200,0,1001661,0,0,0,0,0,0,0,0
100168,3,0,540,560,35,100174,100180,0,1001681,1001682,1001683,0,0,0,0,0,0
100200,3,0,551,552,45,100199,100204,0,1002001,1002002,1002003,0,0,0,0,0,0
100209,3,0,551,549,45,100210,100213,0,1002091,1002092,1002093,0,0,0,0,0,0
100174,1,0,560,565,35,0,100181,0,1001741,0,0,0,0,0,0,0,0
100180,2,0,560,602,35,100179,100176,0,1001801,1001802,0,0,0,0,0,0,0
100169,2,0,503,550,45,100162,100153,0,1001691,1001692,0,0,0,0,0,0,0
100229,2,0,503,517,35,100228,100216,0,1002291,1002292,0,0,0,0,0,0,0
100170,3,0,556,553,35,100171,100175,0,1001701,1001702,1001703,0,0,0,0,0,0
100171,1,0,553,565,35,0,100181,0,1001711,0,0,0,0,0,0,0,0
100175,1,0,553,560,35,100174,100180,0,1001751,0,0,0,0,0,0,0,0
100181,2,0,565,601,35,0,100182,0,1001811,1001812,0,0,0,0,0,0,0
100172,2,0,583,556,45,0,100170,0,1001721,1001722,0,0,0,0,0,0,0
100203,2,0,583,546,45,0,100202,0,1002031,1002032,0,0,0,0,0,0,0
100173,2,0,568,556,35,0,100170,0,1001731,1001732,0,0,0,0,0,0,0
100177,2,0,568,617,45,100178,100190,0,1001771,1001772,0,0,0,0,0,0,0
100176,2,0,602,617,35,100178,100190,0,1001761,1001762,0,0,0,0,0,0,0
100179,2,0,602,601,35,0,100182,0,1001791,1001792,0,0,0,0,0,0,0
100178,2,0,617,653,45,0,100237,0,1001781,1001782,0,0,0,0,0,0,0
100190,2,0,617,593,35,0,100219,100192,1001901,1001902,0,0,0,0,0,0,0
100237,3,0,653,780,65,100257,100238,0,1002371,1002372,1002373,0,0,0,0,0,0
100182,3,0,601,580,35,100183,100184,0,1001821,1001822,1001823,0,0,0,0,0,0
100183,2,0,580,568,35,100173,100177,0,1001831,1001832,0,0,0,0,0,0,0
100184,2,0,580,542,45,0,100159,0,1001841,1001842,0,0,0,0,0,0,0
100185,4,0,562,653,65,0,100237,0,1001851,1001852,1001853,1001854,0,0,0,0,0
100186,2,0,620,597,35,0,100222,0,1001861,1001862,0,0,0,0,0,0,0
100187,1,0,620,595,35,0,100220,0,1001871,0,0,0,0,0,0,0,0
100222,2,0,597,547,35,0,100223,0,1002221,1002222,0,0,0,0,0,0,0
