LaneID,LinkID,Left,Through,Right,Length(m)
1070942,107094,0,1070932,0,93.57545329
1070943,107094,0,1070933,0,93.55921939
1070941,107094,0,0,0,93.54298548
1070945,107094,0,0,0,93.52675156
1070885,107088,0,0,1070895,26.53857991
1070882,107088,0,1070751,0,26.53857141
1070883,107088,0,1070752,0,26.53856291
1070884,107088,0,1070753,0,26.53855442
1070881,107088,0,0,0,26.53854592
1070904,107090,0,1070741,0,32.49764592
1070902,107090,0,1070742,0,33.12471485
1070903,107090,0,1070743,0,33.75178365
1070901,107090,0,0,0,34.37885232
1070905,107090,0,0,0,35.00592087
1070912,107091,0,1070901,0,47.69511699
1070913,107091,0,1070902,0,51.39356758
1070914,107091,0,1070903,0,55.09201724
1070911,107091,1070881,0,0,58.79046595
1070915,107091,0,0,0,62.48891372
1070993,107099,0,0,1071002,162.3626324
1070992,107099,0,1071021,0,162.3016382
1070991,107099,0,0,0,162.2406439
1070921,107092,1070911,1070991,0,55.51655538
1070922,107092,0,1070992,0,54.49804617
1070951,107095,0,1070931,0,40.83769515
1070932,107093,0,1070991,0,38.03669349
1070933,107093,0,1070992,0,38.65917504
1070934,107093,0,1070993,0,39.28165703
1070931,107093,1070911,0,0,39.90413947
1070935,107093,0,0,0,40.52662234
1070981,107098,0,1070911,0,162.4846208
1070982,107098,0,1070912,0,162.5456149
1071001,107100,0,1070311,0,1472.064248
1071002,107100,0,1070312,0,1469.848741
1071021,107102,1071041,1071161,0,167.988396
1071022,107102,0,1071162,0,167.9884496
1071012,107101,0,1070981,0,167.9882888
1071011,107101,1071001,0,0,167.9882352
1071013,107101,0,0,0,167.9881816
1071043,107104,0,0,1071052,226.8064611
1071042,107104,0,1072001,0,226.8003223
1071041,107104,0,0,0,226.7941835
1071161,107116,1071231,1077121,0,473.9571621
1071162,107116,0,1077122,0,473.8480066
1071051,107105,0,1071111,0,178.8021858
1071052,107105,0,1071112,0,178.6596461
1072002,107200,0,1071982,1072012,496.304104
1072001,107200,0,1071981,0,493.8017892
1071111,107111,0,1071131,0,181.302407
1071112,107111,0,1071132,0,181.3024645
1071061,107106,0,0,0,134.088512
1071062,107106,0,0,0,134.4548014
1071082,107108,0,1071111,0,110.5829803
1071081,107108,0,0,0,110.6052023
1071083,107108,0,0,0,110.6274244
1071071,107107,0,1071081,0,133.3559333
1071072,107107,0,1071082,0,132.989644
1071093,107109,0,0,1071062,166.9156207
1071092,107109,0,1071081,0,167.4851409
1071091,107109,0,0,0,168.0546607
1071143,107114,0,0,1071102,128.618735
1071142,107114,0,1071131,0,128.6187344
1071141,107114,0,0,0,128.6187337
1071281,107128,1071661,1071251,0,16.29114183
1071101,107110,0,0,0,181.3022919
1071102,107110,0,0,0,181.3022344
1071131,107113,1071241,1071191,0,19.23776884
1071132,107113,0,1071192,0,19.23777488
1071121,107112,0,1071101,0,19.23775677
1071122,107112,0,1071102,0,19.23775073
1071192,107119,0,1076802,1071182,124.9917839
1071191,107119,1071221,1076801,0,124.86756
1071244,107124,0,0,1071251,126.8969418
1071242,107124,0,1071661,0,126.8969422
1071243,107124,0,1071662,0,126.8969427
1071241,107124,1071271,0,0,126.8969431
1071153,107115,0,0,1071043,474.175473
1071152,107115,0,1071011,0,474.2846283
1071151,107115,0,0,0,474.3937836
1071232,107123,0,1071171,0,157.5899731
1071233,107123,0,1071172,0,157.6506812
1071231,107123,0,0,0,157.7113893
1071234,107123,0,0,0,157.7720975
1077122,107712,0,1077002,1077202,803.9023453
1077121,107712,1076841,1077001,0,803.9045237
1071172,107117,0,1071222,1076802,74.92628833
1071171,107117,1071201,1071221,0,74.92629169
1071181,107118,0,0,0,74.9262816
1071182,107118,0,0,0,74.92627824
1071202,107120,0,1071122,1071244,125.2402317
1071201,107120,0,1071121,0,125.3644555
1071222,107122,0,0,1071311,121.6010083
1071221,107122,0,1071261,0,123.2049182
1076802,107680,0,1076762,1076825,749.4282026
1076801,107680,0,1076761,0,750.7527444
1071212,107121,0,1071182,1071202,118.3931886
1071211,107121,1076801,1071181,0,116.7892788
1071261,107126,0,1071271,1071663,151.3260918
1071311,107131,1071321,1071351,0,356.3563197
1071251,107125,0,1071311,1071212,151.2708921
1071271,107127,1071141,1071091,0,16.29113321
1071272,107127,0,1071092,0,16.29112889
1071663,107166,0,0,1071654,447.6798493
1071662,107166,0,1071721,0,448.1512859
1071661,107166,0,0,0,448.6227225
1071291,107129,0,1071071,0,8.306158037
1071292,107129,0,1071072,0,8.306158025
1071973,107197,0,0,1071694,285.0199629
1071972,107197,0,1071951,0,287.3793605
1071971,107197,0,0,0,289.7387581
1071301,107130,1071211,1071261,0,356.3015628
1071321,107132,0,0,0,12.14413044
1071351,107135,0,1071361,0,143.5835775
1071331,107133,0,1071351,1071301,14.85609299
1071341,107134,0,1071301,1071321,143.4901969
1071361,107136,1076721,1076811,0,100.3169034
1071362,107136,0,1076812,0,100.3623884
1076721,107672,0,1076711,1076743,22.47268164
1076814,107681,0,0,1076792,189.6337818
1076812,107681,0,1076821,0,189.9400829
1076813,107681,0,1076822,0,190.2463839
1076811,107681,1076761,0,0,190.552685
1071371,107137,0,1071331,0,160.8097824
1071372,107137,0,0,0,160.825239
